City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
19,Surt,LY,78.62,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
27,Carnarvon,AU,76.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
55,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
65,Mutis,CO,77.97,moderate rain,6.2262,-77.4044,Paraiso Escondido
72,Ambilobe,MG,78.75,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
76,Miyang,CN,77.68,moderate rain,24.4042,103.4428,Huibinlou Hotel
86,Daru,PG,78.24,moderate rain,-9.0763,143.2092,Daru Lodge
100,Bethel,US,78.55,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
102,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
105,Ginda,IN,76.51,broken clouds,30.6945,78.4932,Sunil Bisht
112,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
114,Valencia,ES,75.02,clear sky,39.3333,-0.8333,Masia El Pino
124,Bandarbeyla,SO,79.0,overcast clouds,9.4942,50.8122,JABIR HOTEL
125,Hilo,US,76.73,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
126,Isangel,VU,78.22,scattered clouds,-19.55,169.2667,Tanna Lodge
127,Granadilla De Abona,ES,76.75,few clouds,28.1188,-16.576,Hotel Rural Senderos De Abona
129,Atuona,PF,77.47,scattered clouds,-9.8,-139.0333,Villa Enata
134,Toppenish,US,79.9,clear sky,46.3774,-120.3087,Legends Casino Hotel
135,Manzil Salim,TN,79.7,clear sky,35.8567,8.4765,mohamed ben khlil omri
161,Tahoua,NE,78.96,broken clouds,14.8888,5.2692,Bungalows Guesthouse
164,Bubaque,GW,77.94,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
165,Vrises,GR,76.19,clear sky,35.492,23.8899,Minoa Palace Resort
169,Puerto Escondido,MX,79.48,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
170,Marawi,PH,77.79,scattered clouds,7.9986,124.2928,Derogongan Residence
178,Kerema,PG,79.18,overcast clouds,-7.9631,145.7785,Frena Lodge
185,Sao Filipe,CV,77.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
193,Manono,CD,78.4,few clouds,-7.3,27.4167,Hotel hewa bora
196,Biltine,TD,79.2,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
199,Faanui,PF,77.95,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
203,Miandrivazo,MG,75.97,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
222,Saint-Paul,RE,75.31,clear sky,-21.0096,55.2707,Boucan Canot
242,Cienfuegos,CU,77.14,clear sky,22.1461,-80.4356,Casa Claumar B2BPay
248,Cairns,AU,76.95,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
270,Ciudad Bolivar,VE,75.0,overcast clouds,8.1222,-63.5497,Hotel Edi
279,Pochutla,MX,78.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
280,Muskego,US,79.63,overcast clouds,42.9058,-88.139,Cartones
286,Sabha,LY,78.8,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
293,Myitkyina,MM,75.88,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
295,Ingham,US,75.38,scattered clouds,42.6,-84.3833,Sunset Mobile Home Park
296,Banes,CU,79.09,few clouds,20.9625,-75.7186,Hostal Iván y yailet
313,Leshukonskoye,RU,77.4,few clouds,64.8989,45.7622,Pryalitsa Hostel
326,Grafton,US,75.45,clear sky,42.207,-71.6856,The Grafton Inn
338,Ajaccio,FR,77.05,clear sky,42.0,8.9167,Sole E Monte
346,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
350,Mao,ES,75.76,fog,39.8885,4.2658,ARTIEM Capri
353,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
356,Palmer,US,75.61,clear sky,42.1584,-72.3287,Wedgewood Motel
358,Manokwari,ID,76.87,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
363,Black River,JM,78.13,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
388,Medea,DZ,75.65,clear sky,36.2642,2.7539,Hôtel M'Sallah
403,Paka,MY,78.73,heavy intensity rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
406,Tiarei,PF,75.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
407,Akhtanizovskaya,RU,75.67,clear sky,45.32,37.1,Svetlyy
414,Laguna De Perlas,NI,78.31,overcast clouds,12.3429,-83.6712,Hotel Best View
416,Pedernales,DO,79.63,clear sky,18.0384,-71.744,Hotel Costa Marina
422,Aleksandrov Gay,RU,75.49,clear sky,50.147,48.5704,Gostinitsa
427,Norfolk,US,78.08,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
431,Puerto El Triunfo,SV,77.92,broken clouds,13.2833,-88.55,Hotel Jardin
433,Itarema,BR,76.05,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
435,Monrovia,LR,75.38,overcast clouds,6.3005,-10.7969,Sunset Inn
438,Vaitape,PF,76.62,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
471,Gairatganj,IN,78.55,overcast clouds,23.4202,78.2385,new garib namz road lines
472,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
475,Jalu,LY,77.13,clear sky,29.0331,21.5482,صاحبة الفخامة
477,Koutsouras,GR,77.11,clear sky,35.0339,25.9469,The White Houses
479,Rincon,US,75.85,clear sky,32.296,-81.2354,Days Inn Rincon
480,Klyuchi,RU,76.71,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
503,Dhidhdhoo,MV,79.3,overcast clouds,6.8833,73.1,Dhidhoo beach
506,Hamilton,US,76.57,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
511,Hobyo,SO,79.52,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
512,Atar,MR,79.88,clear sky,20.5169,-13.0499,Oumou Elghoura
517,Roma,US,75.09,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
533,Lodwar,KE,77.36,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
534,Kon Tum,VN,78.33,light rain,14.35,108.0,Hoa đà spa- homestay
543,Lufilufi,WS,78.58,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
548,Mana,GF,75.18,overcast clouds,5.6592,-53.7767,LE SAMANA
560,Vozrozhdeniye,RU,76.19,scattered clouds,44.5503,38.2136,Guesthouse Ecodom Kurochka Ryaba
561,Napanee,CA,76.91,scattered clouds,44.2501,-76.9494,Fox Motor Inn
562,Escarcega,MX,75.88,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
577,Acajutla,SV,79.39,overcast clouds,13.5928,-89.8275,Laureles
579,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
580,Domoni,KM,77.18,light rain,-12.2569,44.5319,Al Djadid
583,Erdaojiang,CN,77.9,overcast clouds,41.7764,126.0319,Tonggang Hotel
585,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
592,Emilio Carranza,MX,79.61,scattered clouds,19.9711,-96.6114,Hotel Carranza Inn
593,Kropotkin,RU,75.47,few clouds,45.4375,40.5756,Hotel Europe Kropotkin
594,Acarau,BR,75.99,scattered clouds,-2.8856,-40.12,castelo pizzaria
602,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
603,Portland,US,78.75,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
622,Kutum,SD,75.18,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
651,Mayo,US,79.21,clear sky,38.8876,-76.5119,Resorts Resource Group International
662,Fernley,US,78.75,scattered clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
690,Saint Anthony,US,75.92,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
696,Coahuayana,MX,78.39,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
699,Karratha,AU,78.87,clear sky,-20.7377,116.8463,ibis Styles Karratha
712,Lagunillas,VE,78.98,broken clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
